Customer ID,Gender,Age,Transaction Amount,Transaction Date,Category
796551,F,67,141.06,2023-05-12,Cosmetic
465123,F,51,95.21,2023-05-26,Restaurant
428576,F,42,11.98,2023-04-18,Restaurant
672487,M,62,381.13,2023-09-17,Market
471101,,43,442.32,2023-06-20,Electronics
661557,F,59,2311.32,2023-10-10,Travel
354655,F,19,269.51,2023-08-09,Clothing
41196,F,45,1854.31,2023-04-03,Travel
202678,F,59,1270.81,2023-02-21,Travel
292008,F,20,104.15,2023-06-15,Clothing
313343,M,35,996.09,2023-06-24,Electronics
918581,,25,230.32,2023-05-14,Clothing
449817,F,44,77.12,2023-04-19,Restaurant
147364,M,62,77.43,2023-03-23,Electronics
595276,M,48,429.49,2023-02-05,Market
266510,,20,537.66,2023-03-24,Electronics
138959,,29,2371.02,2023-08-22,Travel
465981,F,36,1868.64,2023-02-26,Travel
528337,M,63,201.37,2023-02-21,Clothing
538549,F,44,149.98,2023-07-22,Market
806417,,38,75.65,2023-06-23,Electronics
247945,M,23,134.33,2023-01-02,Cosmetic
880747,M,32,2433.47,2023-06-13,Travel
63966,,43,54.06,2023-06-14,Clothing
269658,F,21,83.38,2023-02-24,Clothing
998320,M,60,90.16,2023-09-17,Restaurant
538301,,26,274.8,2023-07-14,Clothing
664294,M,18,927.47,2023-01-07,Travel
949304,F,26,66.11,2023-01-14,Clothing
71844,F,20,144.23,2023-01-04,Cosmetic
160904,M,52,2163.17,2023-04-10,Travel
140041,F,58,701.38,2023-01-02,Electronics
760246,F,42,50.36,2023-04-01,Restaurant
954346,M,68,94.07,2023-03-17,Cosmetic
603507,M,63,125.92,2023-07-29,Clothing
428653,F,23,193.66,2023-05-08,Clothing
483307,F,22,78.67,2023-09-19,Electronics
80027,,66,264.96,2023-03-16,Market
524694,F,55,974.83,2023-03-03,Travel
779318,F,38,13.91,2023-02-14,Restaurant
714392,F,31,199.06,2023-07-17,Clothing
97841,,57,624.17,2023-05-15,Electronics
814720,,32,202.51,2023-04-09,Market
713796,M,54,88.84,2023-10-06,Cosmetic
999791,F,42,50.64,2023-05-21,Restaurant
514760,M,67,212.61,2023-10-05,Clothing
671409,M,52,1658.37,2023-06-01,Travel
787275,M,28,53.81,2023-02-06,Market
416580,M,52,45.31,2023-03-17,Cosmetic
584239,M,65,73.39,2023-05-26,Restaurant
883989,M,49,45.99,2023-07-11,Restaurant
810891,F,35,131.53,2023-04-22,Electronics
311624,M,39,31.97,2023-09-21,Clothing
173126,M,38,288.53,2023-02-17,Clothing
820056,M,29,2774.08,2023-10-10,Travel
683369,F,75,306.21,2023-06-08,Market
269539,F,51,214.52,2023-04-07,Clothing
757732,F,61,85.54,2023-08-16,Cosmetic
604713,F,63,105.78,2023-02-04,Clothing
77950,M,19,424.61,2023-09-21,Market
427939,M,54,136.61,2023-03-07,Clothing
152372,,47,775.24,2023-05-23,Electronics
197007,F,24,273.92,2023-06-17,Clothing
308476,F,23,140.4,2023-07-17,Clothing
805058,M,40,289.85,2023-03-28,Electronics
212969,F,22,209.17,2023-04-08,Market
111995,F,50,73.27,2023-09-04,Restaurant
613364,F,41,284.62,2023-06-19,Electronics
838364,M,51,866.42,2023-07-17,Electronics
252520,,19,2720.55,2023-02-13,Travel
358563,M,37,36.44,2023-08-29,Clothing
231013,M,70,529.08,2023-04-14,Travel
311124,F,46,524.45,2023-09-03,Electronics
752844,M,37,31.99,2023-01-12,Clothing
872305,F,73,123.18,2023-01-02,Clothing
696669,,67,10.02,2023-05-06,Cosmetic
455713,M,49,59,2023-04-12,Restaurant
985602,M,73,232.62,2023-09-03,Clothing
209862,M,33,173.02,2023-01-17,Cosmetic
259800,F,47,168.69,2023-02-14,Cosmetic
733597,F,37,58.04,2023-02-22,Restaurant
655471,F,18,464.17,2023-02-22,Market
827843,F,50,766.06,2023-05-15,Travel
726336,F,70,39.24,2023-01-17,Restaurant
7793,F,75,12.67,2023-02-16,Restaurant
151825,M,74,1981.24,2023-10-04,Travel
178979,M,39,215.27,2023-02-03,Market
59423,F,61,290.5,2023-05-16,Clothing
957395,M,35,425.61,2023-09-03,Market
187306,,61,226.16,2023-07-01,Clothing
379290,M,53,115.83,2023-07-20,Clothing
508537,,63,147.81,2023-08-09,Market
760506,M,52,2471.45,2023-08-04,Travel
830134,M,40,200.02,2023-02-19,Clothing
228033,M,63,1893.84,2023-09-24,Travel
115511,M,73,265.58,2023-04-25,Clothing
857685,M,40,105.68,2023-06-23,Market
659582,F,27,18.96,2023-06-11,Cosmetic
845147,F,69,241.12,2023-08-21,Clothing
975406,,61,2648.72,2023-08-05,Travel
216148,M,43,488.7,2023-04-07,Electronics
325243,F,48,98.1,2023-05-19,Restaurant
36470,F,45,764.15,2023-07-04,Electronics
895352,F,65,82.77,2023-04-24,Restaurant
512231,M,46,193.57,2023-06-04,Market
733759,F,30,593.21,2023-02-22,Electronics
169890,M,64,2585.86,2023-05-30,Travel
746742,F,21,484.35,2023-06-26,Market
376133,M,63,359.88,2023-10-04,Market
898170,M,30,165.96,2023-04-22,Cosmetic
766756,M,50,52.29,2023-09-13,Market
559660,F,21,76.07,2023-07-11,Restaurant
523959,M,35,161.17,2023-02-27,Cosmetic
135321,M,46,692.42,2023-09-04,Electronics
956541,F,74,85.14,2023-04-30,Cosmetic
542031,F,70,115.53,2023-07-16,Market
875584,M,69,51.63,2023-09-02,Clothing
611091,M,48,61.23,2023-08-10,Restaurant
670772,,74,603.67,2023-03-30,Electronics
527458,M,22,327.2,2023-04-29,Electronics
403988,M,60,98.19,2023-06-15,Restaurant
7829,M,61,18.03,2023-06-16,Restaurant
99529,M,32,128.19,2023-06-17,Market
889604,F,46,97.47,2023-01-02,Restaurant
531316,F,18,537.07,2023-06-24,Travel
443377,M,29,791.56,2023-01-02,Electronics
723676,F,48,87.06,2023-02-19,Clothing
609070,M,73,741.27,2023-07-02,Electronics
848726,M,29,527.27,2023-02-21,Electronics
966310,M,43,80.19,2023-02-10,Restaurant
618528,M,40,14.92,2023-01-04,Restaurant
696639,M,67,196.46,2023-01-24,Electronics
537845,,30,424.43,2023-04-02,Market
202536,F,42,505.33,2023-08-17,Electronics
455049,F,24,1641.29,2023-06-20,Travel
893073,F,64,122.58,2023-02-07,Cosmetic
513376,,52,274.06,2023-10-03,Clothing
6526,F,54,344.11,2023-02-17,Market
807777,M,74,83,2023-03-29,Restaurant
557862,F,21,2045.17,2023-07-04,Travel
26510,,63,93.86,2023-06-16,Market
384523,M,73,265.62,2023-01-22,Electronics
491218,,55,91.53,2023-05-31,Market
382546,,19,742.48,2023-06-22,Electronics
326446,M,69,2260.68,2023-05-05,Travel
124147,F,54,784.94,2023-10-05,Travel
401596,F,26,125.32,2023-01-28,Cosmetic
469417,F,74,998,2023-05-20,Electronics
66785,F,61,81.6,2023-09-03,Restaurant
616911,F,53,103.34,2023-08-20,Cosmetic
643778,F,40,49.77,2023-07-29,Restaurant
485816,M,55,168.02,2023-01-27,Cosmetic
951432,F,56,2028.85,2023-10-02,Travel
954845,M,40,811.1,2023-05-21,Travel
583892,F,24,1343.51,2023-06-05,Travel
88900,M,58,10.96,2023-09-01,Cosmetic
83144,F,18,99.51,2023-09-07,Cosmetic
736259,M,56,1035.32,2023-03-11,Travel
224307,M,65,31.92,2023-06-19,Restaurant
21099,M,47,263.9,2023-07-04,Market
840937,F,37,891.48,2023-01-21,Travel
240657,F,23,836.15,2023-04-16,Electronics
110112,M,61,74.11,2023-03-04,Restaurant
579730,F,35,43.66,2023-09-03,Market
526777,F,67,74.03,2023-01-12,Restaurant
594622,M,23,2560.5,2023-06-05,Travel
787347,,43,18.65,2023-08-06,Cosmetic
439045,F,58,2695.47,2023-09-14,Travel
569429,F,38,66.13,2023-05-03,Market
701139,,43,243.25,2023-02-28,Clothing
134095,F,38,1547.47,2023-05-31,Travel
248729,M,47,83.89,2023-03-18,Cosmetic
303872,M,19,2428.68,2023-07-01,Travel
721258,F,39,97.23,2023-10-10,Cosmetic
695579,M,30,229.6,2023-09-08,Clothing
384380,M,73,444.59,2023-09-27,Electronics
881230,M,26,113.58,2023-09-10,Cosmetic
100620,F,72,18.49,2023-06-18,Restaurant
28958,M,34,861.67,2023-02-27,Travel
799062,M,44,120.31,2023-05-10,Market
459845,F,74,2379.84,2023-08-10,Travel
387252,F,51,631.76,2023-03-17,Electronics
747675,M,73,480.61,2023-08-01,Travel
123959,M,74,11.52,2023-05-12,Restaurant
106971,M,44,2821.06,2023-05-15,Travel
179746,M,69,986.87,2023-07-18,Electronics
478134,M,56,139.02,2023-04-18,Cosmetic
986328,M,55,655.77,2023-04-15,Electronics
248395,M,25,285.63,2023-02-02,Market
256977,M,44,810.39,2023-06-25,Electronics
623669,M,58,48.5,2023-08-26,Clothing
105836,M,41,41.92,2023-07-23,Restaurant
810630,F,59,50.58,2023-04-26,Market
260128,F,60,537.51,2023-06-21,Electronics
392787,M,59,1581.15,2023-06-22,Travel
862210,M,59,27.4,2023-03-11,Restaurant
726946,F,70,2326.85,2023-04-27,Travel
320618,M,54,927.7,2023-05-12,Electronics
920531,M,40,247.18,2023-02-25,Electronics
321818,F,72,265.32,2023-02-25,Electronics
670384,M,29,154.58,2023-07-15,Clothing
512241,F,41,65.41,2023-08-16,Clothing
902166,F,51,545.65,2023-05-13,Electronics
197927,F,75,25.56,2023-10-03,Clothing
59895,F,66,711.89,2023-05-10,Electronics
639867,M,28,311.92,2023-02-05,Electronics
367752,M,30,803.76,2023-03-02,Electronics
645330,F,31,50.23,2023-07-01,Cosmetic
503926,M,48,930.34,2023-03-07,Travel
664468,F,28,1688.38,2023-06-05,Travel
672808,F,65,285.98,2023-05-09,Market
552994,F,29,140.13,2023-02-26,Clothing
282989,,72,332.52,2023-09-27,Electronics
584831,M,55,1094.06,2023-01-12,Travel
405970,M,24,55.48,2023-06-19,Restaurant
855534,,64,1784.28,2023-06-18,Travel
411991,M,19,493.81,2023-07-14,Market
948021,M,67,175.04,2023-08-14,Electronics
544605,M,54,177.74,2023-04-12,Cosmetic
519214,F,49,93.27,2023-07-12,Market
94568,M,74,855.36,2023-05-28,Electronics
175803,F,75,114.8,2023-06-06,Cosmetic
485783,F,58,216.09,2023-08-05,Clothing
735533,M,68,428.61,2023-01-04,Market
112710,,72,87.37,2023-03-13,Market
437885,F,24,170.29,2023-10-07,Clothing
408054,M,46,244.23,2023-03-18,Clothing
375453,F,48,92.6,2023-08-31,Market
397729,M,21,218.71,2023-02-08,Market
965209,F,51,85.53,2023-09-14,Clothing
555864,F,66,276.51,2023-03-09,Market
525726,F,55,76.37,2023-08-28,Restaurant
34565,F,23,31.05,2023-06-11,Restaurant
402489,M,72,735.88,2023-02-10,Travel
578151,F,41,208.86,2023-05-26,Clothing
132375,F,61,101.76,2023-09-27,Cosmetic
322017,F,41,643.84,2023-10-11,Electronics
780567,F,74,116.38,2023-08-28,Market
467203,,41,136.57,2023-09-22,Clothing
486633,F,62,199.1,2023-08-25,Clothing
361587,,59,172.54,2023-04-26,Market
801423,F,49,414.2,2023-05-04,Market
551054,F,36,52.21,2023-05-28,Restaurant
81000,F,74,119.04,2023-10-11,Market
422981,M,31,189.72,2023-06-13,Clothing
630269,F,23,422.67,2023-01-23,Electronics
410506,F,75,17.03,2023-04-01,Market
975380,F,69,69.44,2023-03-06,Restaurant
928833,F,33,115.85,2023-02-22,Clothing
221424,M,32,811.41,2023-08-27,Electronics
558832,M,46,163.27,2023-01-27,Market
432882,F,20,149.99,2023-07-21,Cosmetic
604673,M,68,82.92,2023-01-10,Restaurant
729265,F,64,176.99,2023-08-22,Electronics
361892,F,50,286.36,2023-04-19,Market
858489,F,33,32.96,2023-05-11,Restaurant
35284,F,49,287.67,2023-07-22,Market
723891,F,69,75.75,2023-05-24,Restaurant
669929,F,20,42.97,2023-09-13,Clothing
341880,,23,63.28,2023-05-24,Clothing
283856,M,47,796.26,2023-09-12,Travel
913296,F,26,2202.33,2023-07-11,Travel
258993,M,44,377.1,2023-07-05,Electronics
592981,F,21,191.47,2023-06-17,Cosmetic
472532,M,43,55,2023-05-20,Cosmetic
764741,F,62,2376.55,2023-06-04,Travel
511236,F,48,19.75,2023-08-05,Cosmetic
546921,M,40,154.55,2023-05-05,Cosmetic
176556,F,41,802.85,2023-02-17,Electronics
907669,M,64,200.71,2023-06-16,Clothing
296651,M,33,859.22,2023-06-24,Travel
57228,F,74,931.48,2023-05-03,Electronics
998183,F,19,125.19,2023-08-01,Cosmetic
979926,,71,56.81,2023-01-26,Restaurant
741762,F,69,175.56,2023-01-20,Clothing
301646,F,19,597.92,2023-06-03,Electronics
924803,,34,214,2023-05-14,Clothing
614656,M,31,92.43,2023-07-04,Restaurant
112977,F,64,772.85,2023-02-17,Electronics
34552,F,68,205.44,2023-01-19,Market
561456,F,55,116.29,2023-06-27,Clothing
977466,M,59,213.44,2023-02-18,Market
151383,M,31,1578.68,2023-09-22,Travel
526633,M,36,630.36,2023-07-29,Electronics
811255,F,40,548.04,2023-04-28,Electronics
997044,M,40,1341.44,2023-09-13,Travel
590961,F,35,282.19,2023-01-10,Market
766568,M,68,84.63,2023-10-11,Cosmetic
505823,F,64,31.22,2023-08-02,Cosmetic
856812,M,40,135.25,2023-04-30,Clothing
863345,M,34,602.22,2023-07-04,Electronics
373587,M,43,645.36,2023-03-10,Electronics
652103,F,65,132.95,2023-08-23,Cosmetic
848763,F,56,163.08,2023-01-13,Clothing
593635,M,19,46.92,2023-01-01,Restaurant
216051,F,57,68.67,2023-07-19,Restaurant
554001,F,31,1823.71,2023-03-24,Travel
325241,,23,150.42,2023-07-28,Clothing
875477,F,52,102.77,2023-08-10,Electronics
218255,F,74,2912.32,2023-01-06,Travel
239992,F,23,2840.77,2023-03-06,Travel
547726,,49,399.59,2023-03-10,Electronics
14386,M,53,91.84,2023-01-06,Restaurant
811363,M,32,69.33,2023-05-05,Restaurant
133598,,26,255.46,2023-07-04,Market
616762,F,52,416.22,2023-02-03,Travel
794261,F,47,12.61,2023-07-15,Restaurant
343875,F,64,19.54,2023-04-29,Restaurant
506663,M,22,56.61,2023-09-13,Cosmetic
313289,F,45,729.7,2023-06-27,Electronics
314053,M,43,861.39,2023-05-03,Electronics
682354,M,60,155.97,2023-10-11,Electronics
622868,M,48,978.68,2023-08-21,Electronics
762591,F,64,124.81,2023-05-04,Cosmetic
417462,,73,1334.77,2023-10-14,Travel
368174,F,59,30.88,2023-02-27,Cosmetic
398649,M,49,247.79,2023-09-18,Market
737157,,75,59.63,2023-07-22,Cosmetic
904432,M,20,288.37,2023-03-19,Clothing
903378,,35,461.3,2023-06-10,Market
433526,,41,136.29,2023-04-14,Electronics
144560,M,21,2875.41,2023-02-10,Travel
386647,F,46,81.38,2023-01-20,Market
623449,F,71,30.31,2023-09-19,Restaurant
383870,F,27,165.45,2023-03-08,Clothing
275481,M,20,170.78,2023-02-28,Cosmetic
962304,M,67,283.77,2023-07-01,Clothing
483334,,41,1964.78,2023-04-06,Travel
551823,F,46,1647.45,2023-09-13,Travel
873403,,34,651.69,2023-05-06,Travel
984568,F,29,55.64,2023-10-07,Cosmetic
337362,F,42,633.07,2023-01-05,Electronics
544731,F,57,527.37,2023-05-14,Travel
337908,F,36,146.16,2023-09-09,Electronics
894914,F,24,29.44,2023-04-20,Restaurant
399627,F,70,2707.98,2023-07-07,Travel
556186,M,61,303.62,2023-06-08,Electronics
666221,F,70,236.38,2023-02-26,Clothing
474440,M,75,118.57,2023-04-13,Cosmetic
82014,M,37,58.28,2023-01-16,Restaurant
209845,M,53,556.79,2023-07-05,Electronics
843977,M,26,446.68,2023-03-27,Electronics
55927,M,67,147.86,2023-02-22,Market
419071,M,63,168.13,2023-02-08,Clothing
240295,M,70,220.42,2023-09-17,Market
29936,F,69,84.9,2023-03-10,Clothing
420248,M,33,35,2023-04-13,Restaurant
929086,M,29,390.48,2023-09-10,Market
356281,,75,977.8,2023-01-18,Travel
957764,M,67,52.66,2023-03-12,Clothing
809877,M,32,52.76,2023-06-04,Clothing
785137,F,27,157.77,2023-05-28,Cosmetic
803174,M,25,183.49,2023-06-09,Cosmetic
389369,F,66,39.64,2023-03-04,Market
54394,F,72,71.87,2023-03-30,Cosmetic
814565,,45,151.99,2023-06-20,Cosmetic
298662,F,55,94.29,2023-01-20,Restaurant
364974,F,65,2128.69,2023-07-19,Travel
973696,M,48,75.62,2023-07-15,Restaurant
978221,M,44,14.12,2023-10-12,Restaurant
13348,M,73,755.1,2023-08-24,Electronics
896139,F,68,1946.7,2023-02-05,Travel
969470,F,60,156.15,2023-09-17,Clothing
205030,M,47,12.92,2023-03-03,Restaurant
380634,F,71,994.35,2023-04-12,Electronics
251519,M,62,1519.68,2023-09-25,Travel
545777,M,65,10.58,2023-05-17,Restaurant
262402,M,20,360.44,2023-05-10,Market
993772,F,41,1131.32,2023-02-04,Travel
171987,F,70,97.02,2023-10-11,Restaurant
704737,F,45,769.29,2023-08-04,Electronics
246787,M,49,2718.59,2023-02-01,Travel
751589,M,60,54.09,2023-08-22,Restaurant
254468,M,73,130.44,2023-03-31,Cosmetic
651224,M,41,219.69,2023-07-06,Travel
203751,M,50,66.74,2023-05-14,Clothing
409985,M,53,248.63,2023-06-22,Market
885772,F,29,48.44,2023-09-21,Restaurant
543959,F,49,815.78,2023-02-23,Electronics
514487,M,20,46.41,2023-09-11,Clothing
52472,M,31,867.13,2023-08-01,Electronics
465977,M,59,329.03,2023-09-12,Market
164096,F,36,141.17,2023-01-04,Market
183191,,43,84.94,2023-03-12,Market
684121,F,36,173.89,2023-06-02,Clothing
121462,F,26,48.03,2023-02-22,Restaurant
826120,F,32,187.15,2023-01-16,Travel
646303,F,65,210.78,2023-06-03,Clothing
227165,F,36,351.96,2023-05-08,Market
51354,F,20,78.51,2023-08-05,Restaurant
898527,,29,764.27,2023-01-06,Travel
542147,F,74,65.21,2023-08-02,Market
618515,M,20,64.77,2023-06-06,Clothing
983833,M,29,68.21,2023-02-02,Restaurant
198820,F,42,1075.95,2023-06-25,Travel
818698,M,30,1058.86,2023-08-19,Travel
395232,M,75,164.52,2023-02-16,Clothing
916753,M,39,144.48,2023-08-26,Clothing
519662,,75,22.17,2023-07-18,Restaurant
483360,M,34,84.16,2023-04-25,Cosmetic
595132,F,34,239.91,2023-08-20,Clothing
857149,M,31,27.28,2023-03-01,Cosmetic
836654,F,72,592.94,2023-02-08,Electronics
940167,M,69,138.27,2023-04-17,Cosmetic
551717,F,34,294.39,2023-04-02,Clothing
161459,F,34,95.91,2023-05-25,Restaurant
269635,F,51,853.12,2023-02-11,Electronics
436820,M,72,408,2023-08-15,Market
34209,M,29,60.4,2023-01-28,Clothing
544854,M,60,137.76,2023-07-03,Cosmetic
762950,F,54,70.38,2023-01-02,Market
349965,M,43,861.92,2023-05-17,Electronics
234563,F,46,128.39,2023-07-26,Electronics
766644,F,66,208.45,2023-03-28,Electronics
386079,M,41,264.84,2023-09-10,Electronics
622864,M,60,116.63,2023-04-07,Cosmetic
196907,F,26,195.52,2023-07-12,Cosmetic
197368,M,65,70.25,2023-04-13,Cosmetic
829341,M,63,960.39,2023-05-16,Electronics
717342,M,35,1570.67,2023-07-04,Travel
247412,M,22,285.06,2023-08-08,Market
146124,F,20,678.39,2023-03-03,Electronics
227892,F,65,142.88,2023-03-17,Market
669121,F,33,108.19,2023-09-25,Clothing
892582,M,45,44.38,2023-09-28,Cosmetic
474761,,38,2655.29,2023-02-27,Travel
771156,M,33,135.51,2023-06-18,Cosmetic
455336,,31,397.13,2023-01-31,Market
343642,F,20,100.61,2023-01-15,Market
869401,M,36,25.31,2023-03-14,Market
339117,M,57,63.49,2023-08-03,Clothing
349959,F,50,27.67,2023-05-11,Restaurant
116037,M,46,15.15,2023-08-22,Restaurant
56082,F,66,344.24,2023-06-10,Travel
272175,F,36,813.81,2023-03-04,Travel
614332,M,28,322.37,2023-09-04,Market
117226,M,41,135.55,2023-07-13,Cosmetic
390831,F,29,25.82,2023-03-09,Clothing
924028,M,60,197.61,2023-05-09,Electronics
761388,M,49,120.33,2023-08-25,Cosmetic
738821,M,59,2282.64,2023-01-08,Travel
289678,M,75,90.53,2023-10-03,Electronics
2569,F,30,413.45,2023-05-04,Market
57036,M,57,257.64,2023-05-17,Clothing
944187,F,43,87.17,2023-08-12,Cosmetic
957619,M,38,216.66,2023-04-21,Electronics
990673,M,38,833.73,2023-08-06,Electronics
894316,F,45,240.6,2023-08-07,Clothing
801461,F,36,1616.56,2023-09-29,Travel
679943,F,38,304.51,2023-02-06,Market
161339,,48,589.24,2023-05-14,Electronics
761496,F,53,60.81,2023-07-21,Restaurant
576106,F,22,123.99,2023-08-07,Electronics
496589,F,42,626.23,2023-07-02,Electronics
640647,M,47,165.84,2023-09-28,Cosmetic
981689,F,65,2735.5,2023-01-22,Travel
331113,F,48,37.42,2023-09-04,Market
533064,F,44,81.16,2023-05-30,Restaurant
260643,M,48,2241.23,2023-06-12,Travel
364792,M,25,83.15,2023-04-13,Cosmetic
496130,M,54,37.98,2023-07-09,Cosmetic
691725,F,69,60.13,2023-03-16,Clothing
382393,F,21,267.08,2023-10-12,Market
200691,M,25,67.12,2023-04-27,Restaurant
582319,,64,1528.49,2023-01-25,Travel
681677,F,38,90.38,2023-05-31,Restaurant
652595,F,74,23.53,2023-07-23,Market
519367,F,18,78.8,2023-03-05,Cosmetic
969550,M,54,116.81,2023-01-05,Electronics
59276,M,63,51.11,2023-07-26,Cosmetic
550536,,72,2232.2,2023-02-22,Travel
426551,M,40,117.42,2023-06-16,Clothing
234841,F,21,64.51,2023-02-01,Restaurant
708393,F,32,310.46,2023-09-08,Electronics
153661,F,67,11.07,2023-06-13,Restaurant
213397,F,39,119.71,2023-02-07,Cosmetic
230673,F,72,1501.17,2023-02-05,Travel
579581,F,74,11.72,2023-09-26,Restaurant
458474,F,27,17.21,2023-03-11,Restaurant
977193,F,47,120.21,2023-02-19,Cosmetic
926652,M,43,234.67,2023-09-05,Clothing
417252,F,30,2514.02,2023-05-09,Travel
329909,F,51,299.45,2023-10-09,Clothing
301559,F,70,251.92,2023-07-23,Market
138084,F,68,2437.67,2023-07-16,Travel
282972,F,45,55.94,2023-01-04,Cosmetic
540337,M,69,1928.83,2023-02-22,Travel
173710,M,72,65.73,2023-04-07,Restaurant
212453,F,35,27.52,2023-08-22,Cosmetic
701017,M,38,1701.15,2023-07-11,Travel
259428,,71,495.95,2023-08-29,Electronics
920423,M,51,297.16,2023-07-12,Clothing
390736,F,33,11.23,2023-08-14,Cosmetic
27774,M,57,159.86,2023-08-06,Clothing
978066,F,70,942.95,2023-08-30,Electronics
